City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chuy,-33.6971,-53.4616,76.23,54,0,16.46,UY,1675537303
1,grindavik,63.8424,-22.4338,36.07,75,75,19.57,IS,1675537343
2,georgetown,5.4112,100.3354,76.98,94,20,0.0,MY,1675537343
3,ponta do sol,32.6667,-17.1,63.23,64,5,9.22,PT,1675537344
4,geraldton,-28.7667,114.6,72.01,88,100,9.22,AU,1675537345
5,mataura,-46.1927,168.8643,68.52,79,100,5.03,NZ,1675537346
6,ende,-8.8432,121.6623,77.36,91,100,4.21,ID,1675537348
7,vaini,-21.2,-175.2,78.96,89,40,8.05,TO,1675537287
8,flin flon,54.7682,-101.865,3.04,72,100,3.44,CA,1675537350
9,saskylakh,71.9167,114.0833,-46.71,100,69,2.48,RU,1675537350
10,quepos,9.4236,-84.1652,85.44,57,51,6.98,CR,1675537351
11,svetlyy,54.675,20.1347,28.96,69,90,12.77,RU,1675537352
12,butaritari,3.0707,172.7902,81.41,80,81,19.82,KI,1675537352
13,ivankiv,50.9386,29.8943,23.18,83,100,9.22,UA,1675537352
14,hermanus,-34.4187,19.2345,67.8,93,5,7.92,ZA,1675537353
15,jamestown,42.097,-79.2353,21.56,32,85,8.01,US,1675537249
16,clyde river,70.4692,-68.5914,-21.77,63,75,4.61,CA,1675537353
17,tiksi,71.6872,128.8694,-12.28,100,100,5.26,RU,1675537353
18,tagbilaran,9.6475,123.8556,77.45,86,100,11.88,PH,1675537354
19,zhob,31.3411,69.4481,48.87,38,0,1.9,PK,1675537354
20,kaeo,-35.1,173.7833,68.32,94,86,6.13,NZ,1675537354
21,codrington,-38.2667,141.9667,57.45,82,100,6.33,AU,1675537355
22,deputatskiy,69.3,139.9,-29.6,99,100,3.87,RU,1675537355
23,ribeira grande,38.5167,-28.7,63.0,88,40,9.22,PT,1675537355
24,erdenet,49.0333,104.0833,-5.13,88,19,2.55,MN,1675537358
25,kidal,18.4411,1.4078,77.2,9,100,8.43,ML,1675537359
26,qaanaaq,77.484,-69.3632,-0.99,65,100,5.77,GL,1675537307
27,sayyan,15.1718,44.3244,56.03,54,36,0.78,YE,1675537361
28,bluff,-46.6,168.3333,65.26,83,100,8.48,NZ,1675537362
29,rikitea,-23.1203,-134.9692,78.55,76,5,16.78,PF,1675537362
30,vrangel,42.7297,133.0839,17.76,65,41,4.85,RU,1675537362
31,new norfolk,-42.7826,147.0587,56.7,64,36,1.01,AU,1675537363
32,provideniya,64.3833,-173.3,-4.16,89,100,10.69,RU,1675537363
33,victoria,22.2855,114.1577,64.45,83,100,8.01,HK,1675537365
34,bakchar,57.0186,82.0711,-1.48,100,100,0.6,RU,1675537365
35,port alfred,-33.5906,26.891,74.17,87,100,1.01,ZA,1675537304
36,vestmannaeyjar,63.4427,-20.2734,36.59,75,75,34.52,IS,1675537365
37,thompson,55.7435,-97.8558,-7.44,77,40,3.44,CA,1675537366
38,severo-kurilsk,50.6789,156.125,25.72,73,100,6.69,RU,1675537367
39,ushuaia,-54.8,-68.3,53.26,50,0,3.44,AR,1675537294
40,lavrentiya,65.5833,-171.0,-13.95,94,96,7.11,RU,1675537367
41,conceicao do araguaia,-8.2578,-49.2647,85.35,66,100,3.94,BR,1675537368
42,castro,-24.7911,-50.0119,72.54,80,43,10.33,BR,1675537368
43,kaitangata,-46.2817,169.8464,69.58,67,100,4.74,NZ,1675537368
44,padang,-0.9492,100.3543,75.25,85,100,2.86,ID,1675537369
45,tasiilaq,65.6145,-37.6368,23.16,90,100,10.63,GL,1675537369
46,guerrero negro,27.9769,-114.0611,68.23,39,0,7.47,MX,1675537369
47,khatanga,71.9667,102.5,-37.71,100,54,4.97,RU,1675537370
48,anaconda,46.1285,-112.9423,38.39,82,31,7.94,US,1675537370
49,avarua,-21.2078,-159.775,82.45,83,40,14.97,CK,1675537370
50,upernavik,72.7868,-56.1549,-6.34,96,100,7.56,GL,1675537371
51,hilo,19.7297,-155.09,73.27,91,100,10.36,US,1675537371
52,conakry,9.538,-13.6773,87.87,55,4,9.22,GN,1675537371
53,bhola,22.6833,90.65,65.43,55,100,5.79,BD,1675537371
54,shenjiamen,29.9576,122.298,47.08,76,100,9.62,CN,1675537372
55,borovskoy,53.8,64.15,-2.27,100,100,5.28,KZ,1675537372
56,busselton,-33.65,115.3333,74.21,46,99,7.72,AU,1675537283
57,khani,41.9563,42.9566,35.17,55,100,6.17,GE,1675537372
58,tunceli,39.1083,39.5471,23.47,96,100,3.98,TR,1675537373
59,brewster,41.3973,-73.6171,18.25,38,40,16.11,US,1675537373
60,atuona,-9.8,-139.0333,78.26,77,7,18.25,PF,1675537312
61,igarka,67.4667,86.5833,1.72,98,100,5.93,RU,1675537374
62,roebourne,-20.7833,117.1333,89.51,45,100,5.68,AU,1675537374
63,albany,42.6001,-73.9662,10.89,41,42,1.99,US,1675537116
64,nikolskoye,59.7035,30.7861,28.29,92,100,8.61,RU,1675537374
65,goderich,43.7501,-81.7165,21.9,68,55,21.85,CA,1675537242
66,pevek,69.7008,170.3133,-35.54,100,90,3.47,RU,1675537348
67,dembi dolo,8.5333,34.8,68.45,31,89,3.58,ET,1675537375
68,narsaq,60.9167,-46.05,30.42,90,100,19.15,GL,1675537375
69,ilebo,-4.3167,20.5833,70.61,94,100,0.94,CD,1675537375
70,chokurdakh,70.6333,147.9167,-28.66,99,58,8.08,RU,1675537376
71,erenhot,43.6475,111.9767,20.64,38,100,6.35,CN,1675537376
72,manono,-7.3,27.4167,69.31,96,99,5.39,CD,1675537376
73,bethel,41.3712,-73.414,18.01,38,40,16.11,US,1675537377
74,camacupa,-12.0167,17.4833,62.22,96,97,3.2,AO,1675537377
75,san cristobal,7.7669,-72.225,78.98,34,8,8.05,VE,1675537377
76,saint-francois,46.4154,3.9054,45.84,91,100,4.61,FR,1675537377
77,linkou,45.3,130.2833,3.92,94,100,4.79,CN,1675537378
